price,address,mls,office_name,office_type,office_address,Property Type,Building Type,Storeys,Square Footage,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Partial,Appliances Included,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Community Features,Maintenance Fees,Maintenance Fees Include,Maintenance Management Company,Total Parking Spaces,View,Below Grade,Flooring,Structures,Land Size,Basement Features,Basement Type,Style,Architecture Style,Fire Protection,Rental Equipment,Fireplace,Utility Sewer,Water,Amenities Nearby,Fencing,Frontage,Land Depth,Foundation Type,Utility Type,Zoning Description,Pool Type,Split Level Style,Landscape Features,Surface Water,Subdivision Name,Built in,Storage,Total Units,Above Grade Finished,Below Grade Finished,Access,Waterfront,Utility Communications,Construction Status,Construction Material,Waterfront Name,Other Style,Fireplace Fuel,Utility-Hydro,Other,Age Of Building,Business Type
"$1,588,000","19 TOBRUK CRESCENTToronto (Newtonbrook East), Ontario M2M3B3",C10431977,FOREST HILL REAL ESTATE INC.,Brokerage,"15 LESMILL RD UNIT 1TORONTO, Ontario M3B2T3",Single Family,House,1,,Newtonbrook East,Freehold,"$7,655 (CAD)",Garage,2 days,3,2,,,Irregular lot size,,Central air conditioning,Forced air (Natural gas),Brick,,,,,5,,,"Laminate, Concrete, Linoleum",,54.87 x 172.36 FT ; 147.69Ft(N)-48.97Ft(Back)-Open View,Separate entrance,N/A (Finished),Detached,Raised bungalow,,,,Sanitary sewer,Municipal water,,,"54 ft ,10 in","172 ft ,4 in",,"Cable (Available), Sewer (Installed)",Residential,,,,,,,,,,,,,,,,,,,,,,
"$674,999","614 - 98 STRACHAN AVENUEToronto (Niagara), Ontario M6J3M6",C10431956,RE/MAX SKYWAY REALTY INC.,Brokerage,"2565 STEELES AVE.,E., STE. 9BRAMPTON, Ontario L6T4L6",Single Family,Row / Townhouse,,600 - 699 sqft,Niagara,Condominium/Strata,"$2,796.78 (CAD)",,2 days,2,1,,"Dishwasher, Dryer, Refrigerator, Stove, Washer",Balcony,,Central air conditioning,Forced air (Natural gas),Brick,Pet Restrictions,$551.34 (CAD) Monthly,"Heat, Electricity, Water, Common Area Maintenance, Insurance",360 Community management,0,,,"Laminate, Porcelain Tile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,269,000","TH116 - 50 DUNFIELD AVENUEToronto (Mount Pleasant West), Ontario M4S0E4",C10431955,HARVEY KALLES REAL ESTATE LTD.,Brokerage,"2145 AVENUE ROADTORONTO, Ontario M5M4B2",Single Family,Row / Townhouse,2,1000 - 1199 sqft,Mount Pleasant West,Condominium/Strata,$0 (CAD),Underground,2 days,2,3,1,"Dishwasher, Dryer, Freezer, Microwave, Oven, Refrigerator, Washer, Whirlpool, Window Coverings",Carpet Free,"Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,$597.70 (CAD) Monthly,"Insurance, Parking, Common Area Maintenance",Melbourne Property Management,1,,,Laminate,,,,,,,,,,,,"Public Transit, Schools",,,,,,,Outdoor pool,,,,,,,,,,,,,,,,,,,,,
"$1,495,000","337 - 40 OAKLANDS AVENUEToronto (Yonge-St. Clair), Ontario M4V2Z3",C10431961,ROYAL LEPAGE REAL ESTATE SERVICES HEAPS ESTRIN TEAM,Brokerage,"1391 BAYVIEW AVENUETORONTO, Ontario M4G3A6",Single Family,Apartment,2,1600 - 1799 sqft,Yonge-St. Clair,Condominium/Strata,"$5,416.81 (CAD)",Underground,2 days,2,3,1,,Balcony,"Car Wash, Security/Concierge, Visitor Parking, Storage - Locker",Central air conditioning,Forced air (Electric),Brick,Pet Restrictions,"$2,242.96 (CAD) Monthly","Water, Cable TV, Common Area Maintenance, Insurance, Parking",Meritus Group Management Inc.,1,,,"Tile, Hardwood",,,,,,,,,,,,"Park, Place of Worship, Public Transit, Schools",,,,,,Residential,,,,,,,,,,,,,,,,,,,,,,
"$639,000","515 - 111 ELIZABETH STREETToronto (Bay Street Corridor), Ontario M5G1P7",C10431945,HOMELIFE NEW WORLD REALTY INC.,Brokerage,"201 CONSUMERS RD., STE. 205TORONTO, Ontario M2J4G8",Single Family,Apartment,,500 - 599 sqft,Bay Street Corridor,Condominium/Strata,"$2,753.87 (CAD)",Underground,2 days,1,1,,"Cooktop, Microwave, Oven, Refrigerator, Washer, Window Coverings","Balcony, Carpet Free, In suite Laundry","Security/Concierge, Exercise Centre, Visitor Parking",Central air conditioning,Heat Pump (Natural gas),Concrete,Pet Restrictions,$495.15 (CAD) Monthly,"Common Area Maintenance, Heat, Insurance, Water",Royal Grand Property Management 416-345-9600,1,City view,,Laminate,,,,,,,,,,,,"Hospital, Park, Public Transit, Schools",,,,,,,Indoor pool,,,,,,,,,,,,,,,,,,,,,
"$2,179,000","416 SACKVILLE STREETToronto (Cabbagetown-South St. James Town), Ontario M4X1S9",C10431939,ROYAL LEPAGE/J & D DIVISION,Brokerage,"477 MT. PLEASANT ROADTORONTO, Ontario M4S2L9",Single Family,House,2.5,2000 - 2500 sqft,Cabbagetown-South St. James Town,Freehold,"$9,584.87 (CAD)",,2 days,3,4,2,"Oven - Built-In, Central Vacuum, Water Heater, Window Coverings","Lane, Carpet Free, Sump Pump",Fireplace(s),Central air conditioning,Forced air (Natural gas),"Brick Facing, Stucco",,,,,2,,,"Hardwood, Concrete",,18.2 x 96 FT|under 1/2 acre,,Full (Unfinished),Semi-detached,,,,1,Sanitary sewer,Municipal water,,,"18 ft ,2 in",96 ft,"Stone, Block","Cable (Installed), Sewer (Installed)",,,,,,,,,,,,,,,,,,,,,,,
"$2,699,000","812 - 80 FRONT STREET EToronto (Church-Yonge Corridor), Ontario M5E1T4",C10431941,ROYAL LEPAGE SIGNATURE REALTY,Brokerage,"8 SAMPSON MEWS SUITE 201 THE SHOPS AT DON MILLSTORONTO, Ontario M3C0H5",Single Family,Apartment,2,2250 - 2499 sqft,Church-Yonge Corridor,Condominium/Strata,"$7,095.66 (CAD)",Underground,2 days,2,3,1,,,"Security/Concierge, Exercise Centre, Sauna, Storage - Locker",Central air conditioning,Forced air (Natural gas),Brick,Pet Restrictions,"$1,690.99 (CAD) Monthly","Cable TV, Common Area Maintenance, Insurance, Parking",Crossbridge,1,,1,Concrete,,,,,,,,,,,,"Hospital, Park, Public Transit, Schools",,,,,,,Indoor pool,,,,,,,,,,,,,,,,,,,,,
"$2,175,000","11 PRINCE RUPERT AVENUEToronto (High Park North), Ontario M6P2A8",W10431914,BOSLEY REAL ESTATE LTD.,Brokerage,"103 VANDERHOOF AVENUETORONTO, Ontario M4G2H5",Single Family,House,2.5,1500 - 2000 sqft,High Park North,Freehold,"$7,803.80 (CAD)",Detached Garage,2 days,3,4,1,"Garage door opener remote(s), Dishwasher, Dryer, Garage door opener, Microwave, Refrigerator, Stove, Washer, Window Coverings","Irregular lot size, Lane, Carpet Free, Sump Pump","Canopy, Separate Electricity Meters",Central air conditioning,Forced air (Natural gas),Brick,,,,,1,,1,"Hardwood, Tile, Ceramic, Laminate","Deck, Patio(s), Porch",16.1 x 115 FT,"Apartment in basement, Walk out",N/A (Finished),Semi-detached,,,,,Sanitary sewer,Municipal water,"Park, Public Transit",Fenced yard,"16 ft ,1 in",115 ft,Concrete,,,,,,,,,,,,,,,,,,,,,,,,
"$1,288,800","60 BUSHEY AVENUEToronto (Rockcliffe-Smythe), Ontario M6N2R3",W10431908,ROYAL LEPAGE TERREQUITY REALTY,Brokerage,"293 EGLINTON AVE EASTTORONTO, Ontario M4P1L3",Single Family,House,2,,Rockcliffe-Smythe,Freehold,"$4,677.99 (CAD)",Detached Garage,2 days,3,4,1,"Blinds, Dishwasher, Dryer, Refrigerator, Stove, Washer",Carpet Free,,Central air conditioning,Forced air (Natural gas),"Stone, Stucco",,,,,4,,,,,27.04 x 110.14 FT,,N/A (Partially finished),Detached,,,,,Sanitary sewer,Municipal water,,,27 ft,"110 ft ,1 in",Unknown,,,,,,,,,,,,,,,,,,,,,,,,
"$1,400,000","33 MORGAN AVENUEToronto (Stonegate-Queensway), Ontario M8Y2Z9",W10431867,ROYAL LEPAGE FLOWER CITY REALTY,Brokerage,"30 TOPFLIGHT DRIVE UNIT 12MISSISSAUGA, Ontario L5S0A8",Single Family,Duplex,2,2500 - 3000 sqft,Stonegate-Queensway,,"$5,270.22 (CAD)",Detached Garage,2 days,4,4,,"Blinds, Refrigerator, Stove",,,,Forced air (Natural gas),Brick,Community Centre,,,,5,,2,"Tile, Ceramic, Hardwood",,33.6 x 99 FT,Separate entrance,N/A (Finished),,,,,,Sanitary sewer,Municipal water,"Park, Place of Worship, Public Transit, Schools",,"33 ft ,7 in",99 ft,Concrete,,,,,,,,,,,,,,,,,,,,,,,,
"$875,000","55 DEANSCROFT SQUAREToronto (West Hill), Ontario M1E4W8",E10431923,COLDWELL BANKER THE REAL ESTATE CENTRE,Brokerage,"3485B KINGSTON ROADTORONTO, Ontario M1M1R4",Single Family,House,2,1100 - 1500 sqft,West Hill,Freehold,"$3,054 (CAD)",Attached Garage,2 days,3,3,1,Oven - Built-In,"Carpet Free, In-Law Suite",,"Central air conditioning, Ventilation system",Forced air (Natural gas),"Brick, Aluminum siding","School Bus, Community Centre",,,,2,,1,"Hardwood, Laminate","Patio(s), Porch",27 x 108 FT ; N/A,Apartment in basement,N/A (Finished),Semi-detached,,,,1,Sanitary sewer,Municipal water,"Schools, Place of Worship, Public Transit",,27 ft,108 ft,Concrete,"Cable (Available), Sewer (Installed)",RS*119),,,,Lake/Pond,,,,,,,,,,,,,,,,,,
"$1,230,000","9 IVY GREEN CRESCENTToronto (Morningside), Ontario M1G2Z2",E10431880,SUTTON GROUP - SUMMIT REALTY INC.,Brokerage,"33 PEARL STREET #100MISSISSAUGA, Ontario L5M1X1",Single Family,House,2,1500 - 2000 sqft,Morningside,Freehold,"$4,227 (CAD)",Attached Garage,2 days,5,4,2,"Dishwasher, Dryer, Garage door opener, Oven, Refrigerator, Stove, Washer, Window Coverings",Carpet Free,,Central air conditioning,Forced air (Natural gas),Brick,Community Centre,,,,6,,,Hardwood,,50.4 x 120 FT,,N/A (Partially finished),Detached,,,,,Sanitary sewer,Municipal water,"Park, Public Transit, Schools",,"50 ft ,4 in",120 ft,Poured Concrete,,,,,,,,,,,,,,,,,,,,,,,,
"$628,880","602 - 350 ALTON TOWERS CIRCLEToronto (Milliken), Ontario M1V5E3",E10431848,RE/MAX EXCEL REALTY LTD.,Brokerage,"50 ACADIA AVE SUITE 120MARKHAM, Ontario L3R0B3",Single Family,Apartment,,1000 - 1199 sqft,Milliken,Condominium/Strata,"$1,959.90 (CAD)",Underground,2 days,2,2,,"Dishwasher, Dryer, Hood Fan, Refrigerator, Stove, Washer, Window Coverings","Carpet Free, In suite Laundry","Exercise Centre, Recreation Centre, Sauna, Party Room, Visitor Parking, Storage - Locker",Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,$853.70 (CAD) Monthly,"Heat, Water, Cable TV, Common Area Maintenance, Insurance, Parking",Duka Mgmt Company,2,,1,Laminate,Tennis Court,,,,,,,,,,,"Park, Schools, Public Transit",,,,,,Res,,,,,,,,,,,,,,,,,,,,,,
"$2,075,000","123 - 1 BENVENUTO PLACEToronto (Casa Loma), Ontario M4V2L1",C10431898,HARVEY KALLES REAL ESTATE LTD.,Brokerage,"2145 AVENUE ROADTORONTO, Ontario M5M4B2",Single Family,Apartment,,1400 - 1599 sqft,Casa Loma,Condominium/Strata,"$8,318.82 (CAD)","Carport, Covered",2 days,2,3,1,"Blinds, Cooktop, Dishwasher, Dryer, Freezer, Microwave, Range, Refrigerator, Washer",Cul-de-sac,"Security/Concierge, Exercise Centre, Visitor Parking, Storage - Locker",Central air conditioning,Forced air (Natural gas),Brick,Pet Restrictions,"$1,684.75 (CAD) Monthly","Heat, Water, Common Area Maintenance, Insurance, Parking",Benvenuto Residences Inc.,2,,1,,,,,,,,,,,,,"Public Transit, Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$699,000","210 - 800 KING STREET WToronto (Niagara), Ontario M5V3M7",C10431900,"JOHNSTON & DANIEL DIVISION, ROYAL LEPAGE R.E.S. PROPERTIES INSTYLE",Brokerage,"477 MT PLEASANT RD #210TORONTO, Ontario M4S2L9",Single Family,Apartment,,700 - 799 sqft,Niagara,Condominium/Strata,"$2,603.65 (CAD)",Underground,2 days,1,2,1,"Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer, Window Coverings",Balcony,"Exercise Centre, Party Room, Visitor Parking, Sauna",Central air conditioning,Forced air (Natural gas),Brick,Pet Restrictions,$638.69 (CAD) Monthly,"Electricity, Water, Common Area Maintenance, Insurance, Heat",PropertyWright Management Inc.,0,,1,Hardwood,,,,,,Loft,,,,,,"Park, Public Transit, Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,088,000","703 - 1 CONCORDE PLACEToronto (Banbury-Don Mills), Ontario M3C3K5",C10431858,ROYAL LEPAGE SIGNATURE REALTY,Brokerage,,Single Family,Apartment,,1800 - 1999 sqft,Banbury-Don Mills,Condominium/Strata,"$4,037.12 (CAD)",Underground,2 days,2,2,,,"Ravine, Balcony","Security/Concierge, Exercise Centre, Recreation Centre, Party Room, Storage - Locker",Central air conditioning,Forced air (Natural gas),Brick,Pet Restrictions,"$1,610 (CAD) Monthly","Heat, Electricity, Water, Common Area Maintenance, Insurance, Parking",Crossbridge Condominiums Services,1,View,,Hardwood,,,,,,,,,,,,"Hospital, Park, Public Transit",,,,,,,Indoor pool,,,,,,,,,,,,,,,,,,,,,
"$4,595,000","279 BLYTHWOOD ROADToronto (Mount Pleasant West), Ontario M4N1A7",C10431831,SOTHEBY'S INTERNATIONAL REALTY CANADA,Brokerage,"1867 YONGE STREET STE 100TORONTO, Ontario M4S1Y5",Single Family,House,2,3000 - 3500 sqft,Mount Pleasant West,Freehold,"$16,423 (CAD)",Detached Garage,2 days,3,4,1,"Dishwasher, Dryer, Range, Refrigerator","Wooded area, Sloping, Conservation/green belt",,Central air conditioning,Radiant heat (Natural gas),"Brick, Stucco",,,,,12,View,2,,,51 x 188 FT   ; 51x188x91x125x10x125x10x96x28x24x32x68|under 1/2 acre,Walk out,N/A (Finished),Detached,,,,5,Sanitary sewer,Municipal water,"Hospital, Public Transit",,51 ft,188 ft,Unknown,"Cable (Installed), Sewer (Installed)",,,,,,,,,,,,,,,,,,,,,,,
"$749,999","S210 - 120 BAYVIEW AVENUEToronto (Waterfront Communities), Ontario M5A0G4",C10431812,RE/MAX HALLMARK REALTY LTD.,Brokerage,"170 MERTON STTORONTO, Ontario M4S1A1",Single Family,Apartment,,700 - 799 sqft,Waterfront Communities C8,Condominium/Strata,"$3,327.94 (CAD)",Underground,2 days,1,1,,Window Coverings,"Balcony, In suite Laundry","Exercise Centre, Party Room, Separate Heating Controls, Storage - Locker, Security/Concierge",Central air conditioning,Forced air (Natural gas),"Concrete, Brick",Pet Restrictions,$778.27 (CAD) Monthly,"Insurance, Common Area Maintenance",First Service Residential,1,,1,Hardwood,,,,,,,,,,,,,,,,,,,Outdoor pool,,Landscaped,,,,,,,,,,,,,,,,,,,
"$524,990","405 - 3233 EGLINTON AVENUE EToronto (Scarborough Village), Ontario M1J3N6",E10431842,ROYAL LEPAGE FRANK REAL ESTATE,Brokerage,"200 DUNDAS STREET EASTWHITBY, Ontario L1N2H8",Single Family,Apartment,,1200 - 1399 sqft,Scarborough Village,Condominium/Strata,"$1,566.48 (CAD)",Underground,2 days,2,2,,"Dishwasher, Dryer, Refrigerator, Stove, Washer",Balcony,"Security/Concierge, Exercise Centre, Party Room, Visitor Parking, Storage - Locker",Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,"$1,174.50 (CAD) Monthly","Heat, Electricity, Water, Common Area Maintenance, Insurance, Parking",GPM,1,,1,,Tennis Court,,,,,,,,,,,,,,,,,,Indoor pool,,,,,,,,,,,,,,,,,,,,,
"$699,000","913 - 629 KING STREET WToronto (Waterfront Communities), Ontario M5V0G9",C10431800,REAL ONE REALTY INC.,Brokerage,"1660 NORTH SERVICE RD E #103OAKVILLE, Ontario L6H7G3",Single Family,Apartment,,500 - 599 sqft,Waterfront Communities C1,Condominium/Strata,"$3,211.65 (CAD)",Underground,2 days,1,1,,"Dishwasher, Dryer, Oven, Refrigerator, Stove, Washer, Window Coverings",Balcony,"Security/Concierge, Exercise Centre, Party Room, Storage - Locker",Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,$604.51 (CAD) Monthly,"Heat, Water, Common Area Maintenance, Insurance, Parking",Elite Property Management,1,,,Hardwood,,,,,,,,,,,,,,,,,,,Outdoor pool,,,,,,,,,,,,,,,,,,,,,
"$2,245,000","PH 1 - 225 BRUNSWICK AVENUEToronto (University), Ontario M5S2M6",C10431793,RIGHT AT HOME REALTY,Brokerage,"1396 DON MILLS RD UNIT B-121TORONTO, Ontario M3B0A7",Single Family,Row / Townhouse,2,1200 - 1399 sqft,University,Condominium/Strata,$0 (CAD),,2 days,1,2,1,,,,Central air conditioning,Heat Pump (Electric),"Brick, Steel",Pet Restrictions,$368 (CAD) Monthly,"Common Area Maintenance, Insurance",tba,0,,,Hardwood,,,,,,,,,,,,"Hospital, Park, Public Transit, Place of Worship, Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,068,000","2003 - 1080 BAY STREETToronto (Bay Street Corridor), Ontario M5S0A5",C10431780,HOMELIFE LANDMARK REALTY INC.,Brokerage,"7240 WOODBINE AVE UNIT 103MARKHAM, Ontario L3R1A4",Single Family,Apartment,,600 - 699 sqft,Bay Street Corridor,Condominium/Strata,"$3,748.11 (CAD)",Underground,2 days,1,1,,"Intercom, Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer, Window Coverings","Balcony, In suite Laundry","Security/Concierge, Exercise Centre, Party Room, Visitor Parking, Storage - Locker",Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,$535.27 (CAD) Monthly,"Common Area Maintenance, Heat, Insurance, Parking, Water",Shelter Canadian Properties,1,"View, Lake view, City view",1,Hardwood,,,,,,,,,,,,"Hospital, Park, Public Transit, Schools",,,,,,Residential,,,,,,,,,,,,,,,,,,,,,,
"$1,199,900","87 NORTHEY DRIVEToronto (St. Andrew-Windfields), Ontario M2L2S8",C10431772,SUTTON GROUP INCENTIVE REALTY INC.,Brokerage,"1000 INNISFIL BEACH ROADINNISFIL, Ontario L9S2B5",Single Family,House,1,1100 - 1500 sqft,St. Andrew-Windfields,Freehold,"$5,657.49 (CAD)",Garage,2 days,3,2,1,"Water Heater, Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer",,,Central air conditioning,Forced air (Natural gas),Brick,Community Centre,,,,3,,,,"Patio(s), Porch, Shed",30.2 x 127.9 FT|under 1/2 acre,Separate entrance,N/A (Unfinished),Semi-detached,Raised bungalow,,None,,Sanitary sewer,Municipal water,"Public Transit, Hospital, Schools, Park",,"30 ft ,2 in","127 ft ,10 in",Block,"Cable (Available), Sewer (Installed)",RM,,,,,,,,,,,,,,,,,,,,,,
"$2,048,000","219 ELLERSLIE AVENUEToronto (Willowdale West), Ontario M2N1Y3",C10431766,KELLER WILLIAMS REFERRED URBAN REALTY,Brokerage,"246 SHEPPARD AVE WTORONTO, Ontario M2N1N3",Single Family,House,2,,Willowdale West,Freehold,"$10,228.63 (CAD)",Attached Garage,2 days,4,3,1,"Garage door opener remote(s), Blinds, Dishwasher, Dryer, Hood Fan, Refrigerator, Stove, Washer, Whirlpool",Level,Fireplace(s),Central air conditioning,Forced air (Natural gas),Brick,,,,,6,,1,"Hardwood, Carpeted","Deck, Shed",50 x 150 FT,,Full,Detached,,,Water Heater - Gas,1,Sanitary sewer,Municipal water,,,50 ft,150 ft,Block,,,,,,,,,,,,,,,,,,,,,,,,
"$4,188,000","225 DUNFOREST AVENUEToronto (Willowdale East), Ontario M2N4J6",C10431769,DREAM HOME REALTY INC.,Brokerage,"206 - 7800 WOODBINE AVENUEMARKHAM, Ontario L3R2N7",Single Family,House,2,3500 - 5000 sqft,Willowdale East,Freehold,"$20,063.86 (CAD)",Garage,2 days,5,6,1,"Central Vacuum, Water purifier, Water softener",,,Central air conditioning,Forced air (Natural gas),"Brick, Stone",,,,,6,,1,Hardwood,,56.6 x 135.7 FT,Walk out,N/A (Finished),Detached,,"Alarm system, Security system",,,Sanitary sewer,Municipal water,"Public Transit, Schools",Fenced yard,"56 ft ,7 in","135 ft ,8 in",Poured Concrete,,,,,,,,,,,,,,,,,,,,,,,,
"$899,000","65 PRIMULA CRESCENTToronto (Humber Summit), Ontario M9L1J9",W10431753,RIGHT AT HOME REALTY,Brokerage,"9311 WESTON ROAD UNIT 6VAUGHAN, Ontario L4H3G8",Single Family,House,1,,Humber Summit,Freehold,"$3,448 (CAD)",Garage,2 days,3,2,1,"Refrigerator, Two stoves",,,,Forced air (Natural gas),Brick,,,,,4,,,,,30 x 120 FT,Walk out,N/A (Finished),Semi-detached,Raised bungalow,,,,Sanitary sewer,Municipal water,,,30 ft,120 ft,Unknown,"Cable (Installed), Sewer (Installed)",,,,,,,,,,,,,,,,,,,,,,,
"$789,000","2800 WESTON ROADToronto (Humberlea-Pelmo Park), Ontario M9M2R7",W10431735,KELLER WILLIAMS CO-ELEVATION REALTY,Brokerage,"2100 BLOOR ST W #7BTORONTO, Ontario M6S1M7",Single Family,House,1.5,,Humberlea-Pelmo Park W5,Freehold,"$2,553.58 (CAD)",Carport,2 days,4,1,,"Water Heater, Dryer, Freezer, Oven, Refrigerator",,,Central air conditioning,Forced air (Natural gas),Aluminum siding,,,,,3,,,,,58.27 x 133.36 FT|under 1/2 acre,,N/A (Partially finished),Detached,,,,,Sanitary sewer,Municipal water,Public Transit,,"58 ft ,3 in","133 ft ,4 in",Block,"Cable (Available), Sewer (Installed)",Residential,,,,,,,,,,,,,,,,,,,,,,
"$609,000","2415 - 25 RICHMOND STREET EToronto (Church-Yonge Corridor), Ontario M5C0A6",C10431719,BENCHMARK SIGNATURE REALTY INC.,Brokerage,"260 TOWN CENTRE BLVD #101MARKHAM, Ontario L3R8H8",Single Family,Apartment,,500 - 599 sqft,Church-Yonge Corridor,Condominium/Strata,"$2,632.27 (CAD)",Underground,2 days,1,1,,,"Balcony, In suite Laundry","Exercise Centre, Party Room",Central air conditioning,Forced air (Natural gas),Concrete,Pets not Allowed,$444.45 (CAD) Monthly,"Common Area Maintenance, Heat, Insurance, Water",Forest Hill Kipling Residential Management,0,,1,,,,,,,,,,,,,,,,,,,,Outdoor pool,,,,,,,,,,,,,,,,,,,,,
"$2,585,000","10 STUART AVENUEToronto (Lansing-Westgate), Ontario M2N1B1",C10431702,BAY STREET INTEGRITY REALTY INC.,Brokerage,"8300 WOODBINE AVE #519MARKHAM, Ontario L3R9Y7",Single Family,House,2,3000 - 3500 sqft,Lansing-Westgate,Freehold,"$10,571.97 (CAD)",Attached Garage,2 days,4,5,2,Central Vacuum,Ravine,,Central air conditioning,Hot water radiator heat (Natural gas),Stucco,,,,,6,,,"Hardwood, Carpeted",,102.3 x 125 FT,,N/A (Finished),Detached,,,,,Sanitary sewer,Municipal water,"Park, Public Transit, Schools",,"102 ft ,3 in",125 ft,Concrete,,Residential,Inground pool,,,,,,,,,,,,,,,,,,,,,
"$499,000","514 - 1808 ST CLAIR AVENUE WToronto (Weston-Pellam Park), Ontario M6N0C1",W10431680,HOMELIFE NEW WORLD REALTY INC.,Brokerage,"201 CONSUMERS RD., STE. 205TORONTO, Ontario M2J4G8",Single Family,Apartment,,500 - 599 sqft,Weston-Pellam Park,Condominium/Strata,"$1,850.62 (CAD)",Underground,3 days,1,1,,,Balcony,"Exercise Centre, Recreation Centre, Party Room",Central air conditioning,Forced air (Natural gas),"Brick, Concrete","Pet Restrictions, Community Centre",$373.48 (CAD) Monthly,Common Area Maintenance,First Service Residential,0,,,,,,,,,,,,,,,"Hospital, Marina, Park, Public Transit, Schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$589,000","410 - 10 NORTHTOWN WAYToronto (Willowdale East), Ontario M2N7L4",C10431693,RE/MAX REALTRON REALTY INC.,Brokerage,"183 WILLOWDALE AVE.TORONTO, Ontario M2N4Y9",Single Family,Apartment,,600 - 699 sqft,Willowdale East,Condominium/Strata,"$2,396.22 (CAD)",Underground,3 days,1,1,,"Dishwasher, Dryer, Refrigerator, Stove, Washer, Window Coverings",Balcony,Storage - Locker,Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,$543.99 (CAD) Monthly,"Heat, Water, Insurance, Common Area Maintenance",DEL PROPERTY MANAGEMENT,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$625,000","721 - 20 BRUYERES MEWSToronto (Niagara), Ontario M5V0G8",C10431659,REDFIN,Brokerage,"2229 KINGSTON RD UNIT BTORONTO, Ontario M1N1T8",Single Family,Apartment,,600 - 699 sqft,Niagara,Condominium/Strata,"$2,696.68 (CAD)",Underground,3 days,1,1,,"Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer, Window Coverings","Balcony, Carpet Free, In suite Laundry",Storage - Locker,Central air conditioning,Forced air (Natural gas),Brick,Pet Restrictions,$469.44 (CAD) Monthly,"Insurance, Parking, Common Area Maintenance, Water, Heat",ICON PROPERTY MANAGEMENT,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$719,000","708 - 36 FOREST MANOR ROADToronto (Henry Farm), Ontario M2J0H3",C10431657,RE/MAX REALTRON REALTY INC.,Brokerage,"505 HIGHWAY 7 EAST PH01THORNHILL, Ontario L3T7T1",Single Family,Apartment,,800 - 899 sqft,Henry Farm,Condominium/Strata,"$3,211.65 (CAD)",Underground,3 days,2,2,,,Balcony,"Security/Concierge, Exercise Centre, Party Room, Storage - Locker","Central air conditioning, Ventilation system",Forced air (Natural gas),Concrete,Pets not Allowed,$626.05 (CAD) Monthly,"Common Area Maintenance, Insurance, Parking",ICC Property Management Ltd.,1,,,,,,,,,,,,,,,"Hospital, Public Transit, Schools",,,,,,,Indoor pool,,,,,,,,,,,,,,,,,,,,,
"$523,000","1703 - 85 EAST LIBERTY STREETToronto (Niagara), Ontario M6K3R4",C10431653,BERKSHIRE HATHAWAY HOMESERVICES TORONTO REALTY,Brokerage,"15 ABELL ST #105TORONTO, Ontario M6J0A9",Single Family,Apartment,,500 - 599 sqft,Niagara,Condominium/Strata,"$1,952.74 (CAD)",Underground,3 days,1,1,,"Blinds, Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer, Window Coverings","Balcony, Carpet Free","Security/Concierge, Exercise Centre, Party Room, Fireplace(s), Storage - Locker",Central air conditioning,Forced air (Natural gas),Brick,Pet Restrictions,$389.44 (CAD) Monthly,"Heat, Water, Common Area Maintenance, Insurance",Icc Property Management Ltd,0,View,,Laminate,,,,,,,,,1,,,"Park, Place of Worship, Public Transit",,,,,,,Indoor pool,,,,,,,,,,,,,,,,,,,,,
"$549,990","205 - 1328 BIRCHMOUNT ROADToronto (Wexford-Maryvale), Ontario M1R0B6",E10431645,RIGHT AT HOME REALTY,Brokerage,"242 KING STREET EAST #1OSHAWA, Ontario L1H1C7",Single Family,Apartment,,800 - 899 sqft,Wexford-Maryvale,Condominium/Strata,"$2,145.87 (CAD)",Underground,3 days,2,2,,"Dishwasher, Dryer, Refrigerator, Stove, Washer","Balcony, Carpet Free, In suite Laundry",Storage - Locker,Central air conditioning,Forced air (Natural gas),Brick,Pet Restrictions,$602 (CAD) Monthly,"Heat, Parking, Common Area Maintenance, Insurance",Comfort Property Management,1,,,Laminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
