,link,Neighbourhood,address
619,/on/north-york-real-estate/23-benrubin-dr/home/mLzQ1y5LE8kYqdeK/,Humber Summit,"23 Benrubin Dr , North York - Humber Summit"
620,/on/etobicoke-real-estate/15-braddock-rd/home/DnM697kBOgoybmwe/,West Humber-Clairville,"15 Braddock Rd , Etobicoke - West Humber-Clairville"
622,/on/toronto-real-estate/9-wadsworth-blvd/home/mZRW7naBNjPyEBO9/,Weston,"9 Wadsworth Blvd , Toronto - Weston"
624,/on/etobicoke-real-estate/2115-320-dixon-rd/home/mLzQ1y5olzj3qdeK/,Kingsview Village-The Westway,"2115 - 320 Dixon Rd , Etobicoke - Kingsview Village-The Westway"
626,/on/etobicoke-real-estate/211-350-mill-rd/home/02Zpj39nnogYDrK8/,Eringate-Centennial-West Deane,"211 - 350 Mill Rd , Etobicoke - Eringate-Centennial-West Deane"
631,/on/north-york-real-estate/322b-empress-ave/home/gJRv53K0gZDYVPW4/,East Willowdale,"322B Empress Ave , North York - Willowdale East"
636,/on/north-york-real-estate/115-1200-don-mills-rd/home/obqB176N5Od7ZajD/,Banbury-Don Mills,"115 - 1200 Don Mills Rd , North York - Banbury-Don Mills"
637,/on/toronto-real-estate/368-markham-st/home/ZEXrx30zDEJyOklN/,Palmerston-Little Italy,"368 Markham St , Toronto - Palmerston-Little Italy"
638,/on/scarborough-real-estate/1604-100-prudential-dr/home/L4KAX7NEB6oyeRPJ/,Dorset Park,"1604 - 100 Prudential Dr , Scarborough - Dorset Park"
639,/on/toronto-real-estate/4408-1-king-st-w/home/ZEXrx30k8Xn7OklN/,Yonge-Bay Corridor,"4408 - 1 King St W , Toronto - Bay Street Corridor"
640,/on/toronto-real-estate/4408-1-king-st-w/home/ZEXrx30k8Xn7OklN/,Yonge-Bay Corridor,"4408 - 1 King St W , Toronto - Bay Street Corridor"
642,/on/north-york-real-estate/801-10-tangreen-crt/home/B5bO3xXGdAk3kWVP/,Newtonbrook West,"801 - 10 Tangreen Crt , North York - Newtonbrook West"
643,/on/scarborough-real-estate/home/6VLaGyGPebG7W1ZD/,West Hill,"33 Budworth Dr S , Scarborough - West Hill"
644,/on/toronto-real-estate/1088-pape-ave/home/GMnKYqpNx2R3w1Qr/,Broadview North,"1088 Pape Ave , Toronto - East York"
647,/on/toronto-real-estate/7-woodycrest-ave/home/mLzQ1y5KaWm3qdeK/,Danforth,"7 Woodycrest Ave , Toronto - Danforth"
648,/on/scarborough-real-estate/105-gilroy-dr/home/6VLaGyGkdD0yW1ZD/,Dorset Park,"105 Gilroy Dr , Scarborough - Dorset Park"
649,/on/toronto-real-estate/3216-11-brunel-crt/home/b1DBW7Rw60L3qlAp/,Harbourfront-CityPlace,"3216 - 11 Brunel Crt , Toronto - Waterfront Communities C1"
650,/on/scarborough-real-estate/3632a-st-clair-ave-e/home/xLkv3V9adwm7DBNr/,Cliffcrest,"3632A St Clair Ave E , Scarborough - Cliffcrest"
652,/on/toronto-real-estate/1233-15-merchants-wharf-rd/home/b1DBW7R2o0x7qlAp/,St Lawrence-East Bayfront-The Islands,"1233 - 15 Merchants' Wharf Rd , Toronto - Waterfront Communities C8"
654,/on/toronto-real-estate/695-richmond-st-w/home/9w8o3m5pk423GKjm/,West Queen West,"695 Richmond St W , Toronto - Niagara"
656,/on/north-york-real-estate/38-elvaston-dr/home/5VXv3lXeLMN3j2q8/,Victoria Village,"38 Elvaston Dr , North York - Victoria Village"
657,/on/north-york-real-estate/56-robingrove-rd/home/zVwod7vQGrry5mGN/,Westminster-Branson,"56 Robingrove Rd , North York - Westminster-Branson"
658,/on/north-york-real-estate/202-cameron-ave/home/BGMnKYqX01K3w1Qr/,Lansing-Westgate,"202 Cameron Ave , North York - Lansing-Westgate"
659,/on/toronto-real-estate/49-weybourne-cres/home/damgL7AAnl7Z1MW2/,Lawrence Park South,"49 Weybourne Cres , Toronto - Lawrence Park South"
660,/on/north-york-real-estate/195-banbury-rd/home/J6Em7bna5ox7XBeq/,Banbury-Don Mills,"195 Banbury Rd , North York - Banbury-Don Mills"
662,/on/toronto-real-estate/2013-260-scarlett-rd-e/home/zVwod7vodZG35mGN/,Rockcliffe-Smythe,"2013 - 260 Scarlett Rd , Toronto - Rockcliffe-Smythe"
663,/on/toronto-real-estate/103-dunn-ave/home/xLkv3V9X2mZ7DBNr/,South Parkdale,"103 Dunn Ave , Toronto - South Parkdale"
664,/on/toronto-real-estate/695-richmond-st-w/home/9w8o3m5pk423GKjm/,West Queen West,"695 Richmond St W , Toronto - Niagara"
665,/on/north-york-real-estate/56-robingrove-rd/home/zVwod7vQGrry5mGN/,Westminster-Branson,"56 Robingrove Rd , North York - Westminster-Branson"
666,/on/north-york-real-estate/38-elvaston-dr/home/5VXv3lXeLMN3j2q8/,Victoria Village,"38 Elvaston Dr , North York - Victoria Village"
667,/on/north-york-real-estate/202-cameron-ave/home/BGMnKYqX01K3w1Qr/,Lansing-Westgate,"202 Cameron Ave , North York - Lansing-Westgate"
668,/on/north-york-real-estate/34-mandel-cres/home/BGMnKYqpPrb3w1Qr/,Bayview Woods-Steeles,"34 Mandel Cres , North York - Bayview Woods-Steeles"
669,/on/toronto-real-estate/49-weybourne-cres/home/damgL7AAnl7Z1MW2/,Lawrence Park South,"49 Weybourne Cres , Toronto - Lawrence Park South"
670,/on/north-york-real-estate/p2-117-56-forest-manor-dr/home/Z5BX32zNOvb3Dar0/,Henry Farm,"P2 117 - 56 Forest Manr , North York - Henry Farm"
671,/on/etobicoke-real-estate/50-st-andrews-blvd/home/bEDRYagLna571VaB/,Kingsview Village-The Westway,"50 St Andrews Blvd , Etobicoke - Kingsview Village-The Westway"
675,/on/toronto-real-estate/410-333-adelaide-st-e/home/NAKv53DxmQ63MnxB/,Moss Park,"410 - 333 Adelaide St E , Toronto - Moss Park"
676,/on/toronto-real-estate/90-sutherland-dr/home/BGMnKYqlA1B3w1Qr/,Leaside-Bennington,"90 Sutherland Dr , Toronto - Leaside"
678,/on/scarborough-real-estate/545-mccowan-rd/home/amgL7A48VaEyZ1MW/,Bendale South,"545 Mccowan Rd , Scarborough - Bendale"
679,/on/toronto-real-estate/23-bowmore-rd/home/nM697k54owgYbmwe/,Woodbine Corridor,"23 Bowmore Rd , Toronto - Woodbine Corridor"
680,/on/scarborough-real-estate/602-180-markham-rd/home/amgL7A4lwB5yZ1MW/,Scarborough Village,"602 - 180 Markham Rd , Scarborough - Scarborough Village"
681,/on/toronto-real-estate/26-winona-dr/home/x9w8o3mm423GKjm0/,Wychwood,"26 Winona Dr , Toronto - Wychwood"
682,/on/toronto-real-estate/23-bowmore-rd/home/nM697k54owgYbmwe/,Woodbine Corridor,"23 Bowmore Rd , Toronto - Woodbine Corridor"
683,/on/toronto-real-estate/84-belgravia-ave/home/ZxwR7MwlmxzYKabB/,Briar Hill-Belgravia,"84 Belgravia Ave , Toronto - Briar Hill-Belgravia"
685,/on/scarborough-real-estate/20-perivale-cres/home/B5bO3xXG81V3kWVP/,Bendale South,"20 Perivale Cres , Scarborough - Bendale"
686,/on/toronto-real-estate/140-1173-dundas-st-e/home/oK8OgYB4E4x7JmG2/,South Riverdale,"140 - 1173 Dundas St E , Toronto - South Riverdale"
687,/on/toronto-real-estate/1216-801-king-st-w/home/eQp5yO8Ja9J7d0ZE/,West Queen West,"1216 - 801 King St W , Toronto - Niagara"
689,/on/toronto-real-estate/301-30-hayden-st/home/L5VXv3ljLbxyj2q8/,Church-Wellesley,"301 - 30 Hayden St , Toronto - Church-Yonge Corridor"
693,/on/toronto-real-estate/2403-99-john-st/home/B5bO3xXq85k3kWVP/,Wellington Place,"2403 - 99 John St , Toronto - Waterfront Communities C1"
694,/on/north-york-real-estate/16-florida-cres/home/gAaOyL8Nj5NyGxMb/,Humbermede,"16 Florida Cres , North York - Humbermede"
695,/on/toronto-real-estate/18-perth-ave/home/6VLaGyGJPGaYW1ZD/,Dufferin Grove,"18 Perth Ave , Toronto - Dufferin Grove"
696,/on/north-york-real-estate/422-10-sunrise-ave/home/RdXze3emNGv38m9K/,Victoria Village,"422 - 10 Sunrise Ave , North York - Victoria Village"
697,/on/toronto-real-estate/1406-260-heath-st-w/home/B5bO3xXGGLg3kWVP/,Forest Hill South,"1406 - 260 Heath St W , Toronto - Forest Hill South"
698,/on/toronto-real-estate/1811-100-quebec-ave/home/Vwod7vrQMpD75mGN/,High Park North,"1811 - 100 Quebec Ave , Toronto - High Park North"
700,/on/scarborough-real-estate/602-180-markham-rd/home/amgL7A4lwB5yZ1MW/,Scarborough Village,"602 - 180 Markham Rd , Scarborough - Scarborough Village"
701,/on/toronto-real-estate/26-winona-dr/home/x9w8o3mm423GKjm0/,Wychwood,"26 Winona Dr , Toronto - Wychwood"
702,/on/toronto-real-estate/23-bowmore-rd/home/nM697k54owgYbmwe/,Woodbine Corridor,"23 Bowmore Rd , Toronto - Woodbine Corridor"
703,/on/toronto-real-estate/84-belgravia-ave/home/ZxwR7MwlmxzYKabB/,Briar Hill-Belgravia,"84 Belgravia Ave , Toronto - Briar Hill-Belgravia"
705,/on/scarborough-real-estate/20-perivale-cres/home/B5bO3xXG81V3kWVP/,Bendale South,"20 Perivale Cres , Scarborough - Bendale"
706,/on/toronto-real-estate/140-1173-dundas-st-e/home/oK8OgYB4E4x7JmG2/,South Riverdale,"140 - 1173 Dundas St E , Toronto - South Riverdale"
707,/on/toronto-real-estate/1216-801-king-st-w/home/eQp5yO8Ja9J7d0ZE/,West Queen West,"1216 - 801 King St W , Toronto - Niagara"
709,/on/toronto-real-estate/301-30-hayden-st/home/L5VXv3ljLbxyj2q8/,Church-Wellesley,"301 - 30 Hayden St , Toronto - Church-Yonge Corridor"
713,/on/toronto-real-estate/2403-99-john-st/home/B5bO3xXq85k3kWVP/,Wellington Place,"2403 - 99 John St , Toronto - Waterfront Communities C1"
714,/on/north-york-real-estate/16-florida-cres/home/gAaOyL8Nj5NyGxMb/,Humbermede,"16 Florida Cres , North York - Humbermede"
715,/on/toronto-real-estate/18-perth-ave/home/6VLaGyGJPGaYW1ZD/,Dufferin Grove,"18 Perth Ave , Toronto - Dufferin Grove"
716,/on/north-york-real-estate/422-10-sunrise-ave/home/RdXze3emNGv38m9K/,Victoria Village,"422 - 10 Sunrise Ave , North York - Victoria Village"
717,/on/toronto-real-estate/1406-260-heath-st-w/home/B5bO3xXGGLg3kWVP/,Forest Hill South,"1406 - 260 Heath St W , Toronto - Forest Hill South"
718,/on/toronto-real-estate/1811-100-quebec-ave/home/Vwod7vrQMpD75mGN/,High Park North,"1811 - 100 Quebec Ave , Toronto - High Park North"
722,/on/etobicoke-real-estate/132-50-carnation-ave/home/DO1w3Wqrxooy8Jg0/,Long Branch,"132 - 50 Carnation Ave , Etobicoke - Long Branch"
724,/on/etobicoke-real-estate/710-2855-bloor-st-w/home/damgL7APpQbyZ1MW/,Stonegate-Queensway,"710 - 2855 Bloor St W , Etobicoke - Stonegate-Queensway"
725,/on/etobicoke-real-estate/21-golfcrest-rd/home/MB5bO3xWlNQ7kWVP/,Princess-Rosethorn,"21 Golfcrest Rd , Etobicoke - Princess-Rosethorn"
729,/on/north-york-real-estate/1-shadwell-pl/home/Z5BX32zwmvX3Dar0/,Banbury-Don Mills,"1 Shadwell Pl , North York - Banbury-Don Mills"
733,/on/scarborough-real-estate/2-50-verne-cres-w/home/510Qqyp4Mr6yLGlV/,Malvern West,"2 - 50 Verne Cres , Scarborough - Malvern"
734,/on/toronto-real-estate/262-havelock-st/home/Xawjy41w6zN7rR18/,Dufferin Grove,"262 Havelock St , Toronto - Dufferin Grove"
735,/on/scarborough-real-estate/816-68-grangeway-ave/home/obqB176J2zd7ZajD/,Woburn North,"816 - 68 Grangeway Ave , Scarborough - Woburn"
738,/on/north-york-real-estate/24-nordale-cres/home/JKdOYrGrlQly54lW/,Brookhaven-Amesbury,"24 Nordale Cres , North York - Brookhaven-Amesbury"
739,/on/toronto-real-estate/2314-55-harbour-sq/home/0MWBVyZQd2gYKemj/,St Lawrence-East Bayfront-The Islands,"2314 - 55 Harbour Sq , Toronto - Waterfront Communities C1"
742,/on/etobicoke-real-estate/132-50-carnation-ave/home/DO1w3Wqrxooy8Jg0/,Long Branch,"132 - 50 Carnation Ave , Etobicoke - Long Branch"
744,/on/etobicoke-real-estate/710-2855-bloor-st-w/home/damgL7APpQbyZ1MW/,Stonegate-Queensway,"710 - 2855 Bloor St W , Etobicoke - Stonegate-Queensway"
745,/on/etobicoke-real-estate/21-golfcrest-rd/home/MB5bO3xWlNQ7kWVP/,Princess-Rosethorn,"21 Golfcrest Rd , Etobicoke - Princess-Rosethorn"
749,/on/north-york-real-estate/1-shadwell-pl/home/Z5BX32zwmvX3Dar0/,Banbury-Don Mills,"1 Shadwell Pl , North York - Banbury-Don Mills"
753,/on/scarborough-real-estate/2-50-verne-cres-w/home/510Qqyp4Mr6yLGlV/,Malvern West,"2 - 50 Verne Cres , Scarborough - Malvern"
754,/on/toronto-real-estate/262-havelock-st/home/Xawjy41w6zN7rR18/,Dufferin Grove,"262 Havelock St , Toronto - Dufferin Grove"
755,/on/scarborough-real-estate/816-68-grangeway-ave/home/obqB176J2zd7ZajD/,Woburn North,"816 - 68 Grangeway Ave , Scarborough - Woburn"
758,/on/north-york-real-estate/24-nordale-cres/home/JKdOYrGrlQly54lW/,Brookhaven-Amesbury,"24 Nordale Cres , North York - Brookhaven-Amesbury"
759,/on/toronto-real-estate/2314-55-harbour-sq/home/0MWBVyZQd2gYKemj/,St Lawrence-East Bayfront-The Islands,"2314 - 55 Harbour Sq , Toronto - Waterfront Communities C1"
760,/on/toronto-real-estate/262-havelock-st/home/Xawjy41w6zN7rR18/,Dufferin Grove,"262 Havelock St , Toronto - Dufferin Grove"
761,/on/scarborough-real-estate/816-68-grangeway-ave/home/obqB176J2zd7ZajD/,Woburn North,"816 - 68 Grangeway Ave , Scarborough - Woburn"
763,/on/etobicoke-real-estate/25-finchley-rd/home/NAKv53DDmOk3MnxB/,Edenbridge-Humber Valley,"25 Finchley Rd , Etobicoke - Edenbridge-Humber Valley"
764,/on/toronto-real-estate/1003-1121-bay-st/home/0Zaw5Yojmj23n961/,Bay-Cloverhill,"1003 - 1121 Bay St , Toronto - Bay Street Corridor"
765,/on/north-york-real-estate/75-winston-park-blvd/home/5VXv3lXovGE3j2q8/,Downsview,"75 Winston Park Blvd , North York - Downsview-Roding-CFB"
766,/on/north-york-real-estate/274-dunview-ave/home/0Zaw5YoevlL7n961/,East Willowdale,"274 Dunview Ave , North York - Willowdale East"
767,/on/toronto-real-estate/741-21-dale-ave/home/RdXze3e6kbOY8m9K/,Rosedale-Moore Park,"741 - 21 Dale Ave , Toronto - Rosedale-Moore Park"
768,/on/scarborough-real-estate/564-pharmacy-ave/home/JjAXw7Qw0xQYQOzg/,Clairlea-Birchmount,"564 Pharmacy Ave , Scarborough - Clairlea-Birchmount"
769,/on/toronto-real-estate/524-111-bathurst-st/home/x9w8o3m0NX7GKjm0/,Wellington Place,"524 - 111 Bathurst St , Toronto - Waterfront Communities C1"
770,/on/scarborough-real-estate/65-fort-dearborn-dr/home/RdXze3epwkk78m9K/,East L'Amoreaux,"65 Fort Dearborn Dr , Scarborough - L'Amoreaux"
771,/on/etobicoke-real-estate/111-third-st/home/510QqypEzv17LGlV/,New Toronto,"111 Third St , Etobicoke - New Toronto"
772,/on/toronto-real-estate/ph15-50-dunfield-ave/home/gAaOyL8dPa5yGxMb/,South Eglinton-Davisville,"PH15 - 50 Dunfield Ave , Toronto - Mount Pleasant West"
773,/on/toronto-real-estate/19-38-gibson-ave/home/xmZRW7nrBmR7EBO9/,Weston,"19 - 38 Gibson Ave , Toronto - Weston"
774,/on/toronto-real-estate/2314-55-harbour-sq/home/0MWBVyZQd2gYKemj/,St Lawrence-East Bayfront-The Islands,"2314 - 55 Harbour Sq , Toronto - Waterfront Communities C1"
775,/on/toronto-real-estate/810-435-richmond-st-w/home/wJKR7P82ze97XeLP/,Wellington Place,"810 - 435 Richmond St W , Toronto - Waterfront Communities C1"
776,/on/toronto-real-estate/405-700-king-st-w/home/02Zpj39pO8M7DrK8/,West Queen West,"405 - 700 King St W , Toronto - Niagara"
777,/on/toronto-real-estate/188-carmichael-ave/home/owJKR7PWEjOyXeLP/,Bedford Park-Nortown,"188 Carmichael Ave , Toronto - Bedford Park-Nortown"
778,/on/etobicoke-real-estate/3503-2200-lake-shore-blvd-w/home/knbq6y12GB97o9DA/,New Toronto,"3503 - 2200 Lake Shore Blvd W , Etobicoke - Mimico"
779,/on/toronto-real-estate/618-1-old-mill-dr/home/a6zqW7dKGJPy5eZE/,High Park-Swansea,"618 - 1 Old Mill Dr , Toronto - High Park-Swansea"
780,/on/toronto-real-estate/511-350-lonsdale-rd/home/ZEXrx300BZ3OklNq/,Forest Hill South,"511 - 350 Lonsdale Rd , Toronto - Forest Hill South"
781,/on/north-york-real-estate/810-28-pemberton-ave/home/kbEDRYa29Aly1VaB/,Newtonbrook East,"810 - 28 Pemberton Ave , North York - Newtonbrook East"
782,/on/etobicoke-real-estate/950-25-viking-lane-w/home/jJKdOYrBrDnY54lW/,Etobicoke City Centre,"950 - 25 Viking Lane , Etobicoke - Islington-City Centre West"
783,/on/toronto-real-estate/619-650-queens-quay-w/home/zVwod7vKwM35mGNk/,Fort York-Liberty Village,"619 - 650 Queens Quay W , Toronto - Niagara"
784,/on/scarborough-real-estate/26-13-eaton-park-lane/home/ZNkKJ3Jq9K67d4V6/,East L'Amoreaux,"26 - 13 Eaton Park Lane , Scarborough - L'Amoreaux"
788,/on/north-york-real-estate/901-150-fairview-mall-dr/home/zVwod7vGKlG35mGN/,Don Valley Village,"901 - 150 Fairview Mall Dr , North York - Don Valley Village"
789,/on/north-york-real-estate/2905-65-skymark-dr/home/eVbOYEpAbNO3x2P0/,Hillcrest Village,"2905 - 65 Skymark Dr , North York - Hillcrest Village"
791,/on/toronto-real-estate/15-beechborough-ave/home/NkKJ3Jd0oMGyd4V6/,Beechborough-Greenbrook,"15 Beechborough Ave , Toronto - Beechborough-Greenbrook"
792,/on/toronto-real-estate/2612-230-queens-quay-w/home/PXRla7geGQRYjEvL/,Harbourfront-CityPlace,"2612 - 230 Queens Quay W , Toronto - Waterfront Communities C1"
793,/on/toronto-real-estate/195-brookdale-ave/home/kbEDRYa5l6bY1VaB/,Lawrence Park North,"195 Brookdale Ave , Toronto - Lawrence Park North"
794,/on/toronto-real-estate/2006-88-blue-jays-way/home/gJRv53KELeoyVPW4/,Wellington Place,"2006 - 88 Blue Jays Way , Toronto - Waterfront Communities C1"
795,/on/toronto-real-estate/282-st-clements-ave/home/DnM697kKnE17bmwe/,Yonge-Eglinton,"282 St Clements Ave , Toronto - Yonge-Eglinton"
796,/on/toronto-real-estate/513-170-sudbury-st/home/EeVbOYEN4DDyx2P0/,Little Portugal,"513 - 170 Sudbury St , Toronto - Little Portugal"
797,/on/toronto-real-estate/504-1603-eglinton-ave-w/home/obqB176aD1WyZajD/,Oakwood Village,"504 - 1603 Eglinton Ave W , Toronto - Oakwood Village"
798,/on/toronto-real-estate/3002-25-richmond-st-e/home/Z5BX32zN9lw3Dar0/,Downtown Yonge East,"3002 - 25 Richmond St E , Toronto - Church-Yonge Corridor"
799,/on/etobicoke-real-estate/20-115-long-branch-ave/home/gJRv53Kkxlx3VPW4/,Long Branch,"20 - 115 Long Branch Ave , Etobicoke - Long Branch"
800,/on/toronto-real-estate/3711-20-lombard-street/home/B5bO3xX2KWd3kWVP/,Downtown Yonge East,"3711 - 20 Lombard St , Toronto - Church-Yonge Corridor"
804,/on/toronto-real-estate/2206-20-tubman-ave/home/obqB176pz5dYZajD/,Regent Park,"2206 - 20 Tubman Ave , Toronto - Regent Park"
805,/on/toronto-real-estate/811-1461-lawrence-avenue/home/0A9X3jP2nrdyvgxV/,Brookhaven-Amesbury,"811 - 1461 Lawrence Avenue , Toronto - Brookhaven-Amesbury"
806,/on/toronto-real-estate/310-21-nassau-st/home/kbEDRYanXE1y1VaB/,Kensington-Chinatown,"310 - 21 Nassau St , Toronto - Kensington-Chinatown"
807,/on/toronto-real-estate/401-3-hickory-tree-rd/home/Z5BX32zwWj43Dar0/,Weston,"401 - 3 Hickory Tree Rd , Toronto - Weston"
808,/on/toronto-real-estate/4512-11-brunel-crt/home/L5VXv3lK24x7j2q8/,Harbourfront-CityPlace,"4512 - 11 Brunel Crt , Toronto - Waterfront Communities C1"
810,/on/etobicoke-real-estate/590-horner-ave/home/0ZxwR7MEXgx7KabB/,Alderwood,"590 Horner Ave , Etobicoke - Alderwood"
811,/on/toronto-real-estate/1406-6-sonic-way/home/JRv53KDNPe4YVPW4/,Flemingdon Park,"1406 - 6 Sonic Way , Toronto - Flemingdon Park"
812,/on/north-york-real-estate/home/mLzQ1y5vB2E7qdeK/,Banbury-Don Mills,"53 Tottenham Rd , North York - Banbury-Don Mills"
813,/on/toronto-real-estate/506-77-lombard-st-n/home/mLzQ1y54dPwYqdeK/,Downtown Yonge East,"506 - 77 LOMBARD St , Toronto - Church-Yonge Corridor"
814,/on/toronto-real-estate/511-270-wellington-st-w/home/MB5bO3xoXnp7kWVP/,Wellington Place,"511 - 270 Wellington St W , Toronto - Waterfront Communities C1"
815,/on/scarborough-real-estate/22-botany-hill-rd/home/2Zpj39ENBZg3DrK8/,Morningside,"22 Botany Hill Rd , Scarborough - Morningside"
817,/on/toronto-real-estate/24-chilton-rd/home/aD6p781mxRV3wRQr/,Old East York,"24 Chilton Rd , Toronto - East York"
818,/on/scarborough-real-estate/3512-125-village-green-sq-s/home/02Zpj399jnO3DrK8/,Agincourt South-Malvern West,"3512 - 125 Village Green Sq S , Scarborough - Agincourt South-Malvern West"
819,/on/toronto-real-estate/2209-426-university-ave/home/ZEXrx30r1zpyOklN/,Kensington-Chinatown,"2209 - 426 University Ave , Toronto - Kensington-Chinatown"
821,/on/north-york-real-estate/617-28-empress-ave/home/MB5bO3xjJgykWVPg/,Yonge-Doris,"617 - 28 Empress Ave , North York - Willowdale East"
822,/on/north-york-real-estate/130-munro-blvd/home/a6zqW7dVjBeY5eZE/,St.Andrew-Windfields,"130 Munro Blvd , North York - St. Andrew-Windfields"
823,/on/scarborough-real-estate/3104-125-village-green-sq/home/r56k97wbVkGyKRjD/,Agincourt South-Malvern West,"3104 - 125 Village Green Sq , Scarborough - Agincourt South-Malvern West"
824,/on/north-york-real-estate/811-1461-lawrence-ave-w/home/BDO1w3WAeBqy8Jg0/,Brookhaven-Amesbury,"811 - 1461 Lawrence Ave W , North York - Brookhaven-Amesbury"
825,/on/scarborough-real-estate/202-1070-progress-ave/home/MB5bO3x28VLykWVP/,Malvern East,"202 - 1070 Progress Ave , Scarborough - Malvern"
826,/on/scarborough-real-estate/23-radwell-cres/home/obqB176WqBv3ZajD/,Milliken,"23 Radwell Cres , Scarborough - Milliken"
827,/on/toronto-real-estate/716-955-bay-st/home/N0A9X3jDdgDyvgxV/,Bay-Cloverhill,"716 - 955 Bay St , Toronto - Bay Street Corridor"
829,/on/north-york-real-estate/20-thorny-vine-way/home/dXawjy4eeA67rR18/,Bayview Village,"20 Thorny Vine Way , North York - Bayview Village"
830,/on/toronto-real-estate/520-118-merchants-wharf-ave/home/JjAXw7Qqo4Q7QOzg/,St Lawrence-East Bayfront-The Islands,"520 - 118 Merchants' Wharf Ave , Toronto - Waterfront Communities C8"
831,/on/north-york-real-estate/14-bowhill-cres/home/BGMnKYqodgb7w1Qr/,Pleasant View,"14 Bowhill Cres , North York - Pleasant View"
832,/on/etobicoke-real-estate/2639-35-viking-lane/home/5xLkv3V1Dbz7DBNr/,Etobicoke City Centre,"2639 - 35 Viking Lane , Etobicoke - Islington-City Centre West"
833,/on/toronto-real-estate/1101-1190-dundas-st-e/home/oK8OgYBrQoYJmG2X/,South Riverdale,"1101 - 1190 Dundas St E , Toronto - South Riverdale"
835,/on/toronto-real-estate/248-lippincott-st/home/1DBW7RDB8OkYqlAp/,University,"248 Lippincott St , Toronto - University"
837,/on/north-york-real-estate/120-bevdale-rd/home/9w8o3m5pNAZ3GKjm/,Willowdale West,"120 Bevdale Rd , North York - Willowdale West"
838,/on/etobicoke-real-estate/3504-2220-lake-shore-blvd-w/home/5xLkv3VX40zyDBNr/,Humber Bay Shores,"3504 - 2220 Lake Shore Blvd W , Etobicoke - Mimico"
841,/on/north-york-real-estate/617-28-empress-ave/home/MB5bO3xjJgykWVPg/,Yonge-Doris,"617 - 28 Empress Ave , North York - Willowdale East"
842,/on/north-york-real-estate/130-munro-blvd/home/a6zqW7dVjBeY5eZE/,St.Andrew-Windfields,"130 Munro Blvd , North York - St. Andrew-Windfields"
843,/on/scarborough-real-estate/3104-125-village-green-sq/home/r56k97wbVkGyKRjD/,Agincourt South-Malvern West,"3104 - 125 Village Green Sq , Scarborough - Agincourt South-Malvern West"
844,/on/north-york-real-estate/811-1461-lawrence-ave-w/home/BDO1w3WAeBqy8Jg0/,Brookhaven-Amesbury,"811 - 1461 Lawrence Ave W , North York - Brookhaven-Amesbury"
845,/on/scarborough-real-estate/202-1070-progress-ave/home/MB5bO3x28VLykWVP/,Malvern East,"202 - 1070 Progress Ave , Scarborough - Malvern"
846,/on/scarborough-real-estate/23-radwell-cres/home/obqB176WqBv3ZajD/,Milliken,"23 Radwell Cres , Scarborough - Milliken"
849,/on/north-york-real-estate/20-thorny-vine-way/home/dXawjy4eeA67rR18/,Bayview Village,"20 Thorny Vine Way , North York - Bayview Village"
850,/on/toronto-real-estate/520-118-merchants-wharf-ave/home/JjAXw7Qqo4Q7QOzg/,St Lawrence-East Bayfront-The Islands,"520 - 118 Merchants' Wharf Ave , Toronto - Waterfront Communities C8"
851,/on/north-york-real-estate/14-bowhill-cres/home/BGMnKYqodgb7w1Qr/,Pleasant View,"14 Bowhill Cres , North York - Pleasant View"
852,/on/etobicoke-real-estate/2639-35-viking-lane/home/5xLkv3V1Dbz7DBNr/,Etobicoke City Centre,"2639 - 35 Viking Lane , Etobicoke - Islington-City Centre West"
853,/on/toronto-real-estate/1101-1190-dundas-st-e/home/oK8OgYBrQoYJmG2X/,South Riverdale,"1101 - 1190 Dundas St E , Toronto - South Riverdale"
855,/on/toronto-real-estate/248-lippincott-st/home/1DBW7RDB8OkYqlAp/,University,"248 Lippincott St , Toronto - University"
857,/on/north-york-real-estate/120-bevdale-rd/home/9w8o3m5pNAZ3GKjm/,Willowdale West,"120 Bevdale Rd , North York - Willowdale West"
858,/on/etobicoke-real-estate/3504-2220-lake-shore-blvd-w/home/5xLkv3VX40zyDBNr/,Humber Bay Shores,"3504 - 2220 Lake Shore Blvd W , Etobicoke - Mimico"
861,/on/toronto-real-estate/187-gamble-ave-e/home/obqB1768KXvYZajD/,Old East York,"187 Gamble Ave , Toronto - East York"
863,/on/toronto-real-estate/72-curzon-st-w/home/aD6p781eRlk3wRQr/,South Riverdale,"72 Curzon St W , Toronto - South Riverdale"
864,/on/toronto-real-estate/30-perth-ave/home/XRla7gxeB093jEvL/,Dufferin Grove,"30 Perth Ave , Toronto - Dufferin Grove"
865,/on/scarborough-real-estate/112-laurel-ave/home/DnM697kKjAO7bmwe/,Kennedy Park,"112 Laurel Ave , Scarborough - Kennedy Park"
869,/on/scarborough-real-estate/34-relroy-crt/home/xLkv3V9pAjQ7DBNr/,Steeles,"34 Relroy Crt , Scarborough - Steeles"
871,/on/north-york-real-estate/413-60-george-butchart-dr/home/XeEn7X6OGoKYrPo8/,Downsview,"413 - 60 George Butchart Dr , North York - Downsview-Roding-CFB"
872,/on/toronto-real-estate/403-205-wynford-dr/home/4KAX7NONL4J3eRPJ/,Flemingdon Park,"403 - 205 Wynford Dr , Toronto - Flemingdon Park"
