price,address,mls,rooms,room dimensions,room_properties,Status,Type,Style,Size (sq ft),Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Unit Exposure,Air Conditioning,Fireplace,Pets,Stories,Basement,Heating,Exterior,Garage,Parking Designation,Parking Features,Parking Places,Parking Total,Parking Space,Lockers,Maintenance,Taxes,Tax Year,Building Insurance Included,Cable Included,Common Elements Included,Heating Included,Parking Included,Water Included,Amenity,Feature,Cross Street,Municipality District,Condo Corporation,Corporation Number,Property Management,Bedrooms Plus,Ensuite Laundry,Laundry,Parking Description,Locker Level,Locker Number,Parcel Number,Virtual Tour,Age,Exterior Features,Central A/C Included,Parking Charges,Rooms Plus,Water supply,Driveway,Covered Parking Places,Tax Legal Description,Fronting On,Frontage,Lot Depth,Lot Size Units,Pool,Sewer,Energy Certificate,Green PIS,Elevator,Kitchens Plus,Electricity,Gas,Cable,Telephone,Retirement,UFFI,Locker Quantity,Lot Irregularities,Handicap Equipped,Assesment Year,Hydro Included,Zoning,Assessment,Structure
"$599,000",3504 - 36 Park Lawn Road,MLS® W11215729,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm']","['3.20 x 3.51', '3.20 x 3.51', '3.10 x 3.57', '2.75 x 3.68']","['Combined W/Dining, W/O To Balcony, Laminate', 'Combined W/Living, W/O To Balcony, Laminate', 'Modern Kitchen, Stainless Steel Appl, Open Concept', 'Closet, Laminate, Large Window']",Sale,Condo Apt,Apartment,500-599,Toronto,Mimico,1,1,1,4,N,Open,W,Central Air,N,Restrict,35,None,Forced Air,Concrete,None,None,None,0,0.0,,Owned,397.38,2060.03,2024,Y,,Y,Y,,Y,Visitor Parking,Park,Park Lawn Rd. / Lake Shore Blvd. W,Toronto W06,TSCC,2544,Times Property Management,,Y,Ensuite,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$820,000",88 - 201 Alexmuir Boulevard,MLS® E11215170,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br']","['3.70 x 5.68', '2.38 x 3.28', '3.24 x 4.00', '3.40 x 5.00', '2.94 x 4.58', '2.62 x 3.05', '3.61 x 5.66']","['W/O To Deck, W/O To Yard, O/Looks Park', 'French Doors', 'Eat-In Kitchen, Window, Family Size Kitchen', 'Semi Ensuite, His/Hers Closets', 'O/Looks Park', 'Double Closet, O/Looks Park', 'Window, Closet, Laminate']",Sale,Condo Townhouse,2-Storey,1200-1399,Toronto,Agincourt North,3,2,1,6,N,None,N,Central Air,N,Restrict,1,Finished,Forced Air,Alum Siding,Built-In,Exclusive,Private,1,2.0,,None,500.00,2660.00,2024,Y,,Y,,Y,Y,,,midland/McNicoll,Toronto E07,ycc,315,wallace rivard & aasociates,,,,,,,113150029,,,Brick,,,1,,,,,,,,,,,,,,,,,,,N,,,,,2023,,,,
"$675,000",16 - 17 Pembroke Street,MLS® C11215153,"['Living', 'Kitchen', 'Breakfast', 'Prim Bdrm', '2nd Br']","['3.66 x 4.72', '3.05 x 3.05', '1.83 x 2.59', '5.11 x 3.08', '2.46 x 3.43']","['W/O To Balcony', 'Granite Counter', '', 'Double Closet, W/O To Balcony', '']",Sale,Condo Townhouse,Stacked Townhse,700-799,Toronto,Moss Park,2,1,1,5,N,Open,Ew,Central Air,Y,Restrict,1,None,Forced Air,Brick,Underground,Exclusive,Undergrnd,1,1.0,16,None,533.00,2561.00,2024,,,,,,Y,Visitor Parking,Public Transit,Shuter/SHerbourne,Toronto C08,YCC504,504,Maple Ridge Community Management,,Y,Ensuite,,,,115040017,,31-50,,,,,,,,,,,,,,,N,N,N,,,,,,N,,,,N,2024,,,358000,
"$825,000",308 - 500 Dupont Street,MLS® C11215727,"['Kitchen', 'Dining', 'Living', 'Prim Bdrm', '2nd Br']","['4.14 x 2.59', '4.14 x 2.59', '2.69 x 2.79', '2.66 x 2.87', '2.38 x 2.71']","['Laminate, B/I Appliances, Stone Counter', 'Laminate, Combined W/Kitchen, Open Concept', 'W/O To Balcony, West View, Open Concept', 'Large Window, 3 Pc Ensuite, Closet', 'Closet, Large Window, North View']",Sale,Condo Apt,Apartment,600-699,Toronto,Annex,2,2,1,5,N,Open,Nw,Central Air,N,Restrict,3,None,Forced Air,Brick,Underground,Owned,Undergrnd,1,1.0,,Owned,716.70,0.00,2024,Y,,Y,,Y,,Rooftop Deck/Garden,Park,Bathurst St/Dupont St,Toronto C02,TBD,0,Melbourne Property Management 416-546-2126,,Y,Ensuite,,,,,,New,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
"$1,299,900",4107 - 20 Lombard Street,MLS® C11214526,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br']","['4.70 x 5.66', '4.70 x 5.66', '1.04 x 4.70', '3.15 x 3.91', '3.07 x 3.10']","['Window Flr to Ceil, Combined W/Dining, Open Concept', 'Combined W/Living, Hardwood Floor, W/O To Balcony', 'Quartz Counter, Undermount Sink, Centre Island', '4 Pc Ensuite, W/I Closet, W/O To Balcony', 'Window Flr to Ceil, Double Closet, Hardwood Floor']",Sale,Condo Apt,Apartment,1000-1199,Toronto,Church-Yonge Corridor,2,2,1,5,N,Open,S,Central Air,N,Restrict,14,None,Forced Air,Concrete,Underground,Owned,Undergrnd,1,1.0,,Owned,1164.00,6066.00,2024,Y,,Y,Y,Y,Y,Visitor Parking,,Victoria/Richmond,Toronto C08,TSCC,2881,Forest Hill Kipling Residential Management,,,,D/32 (P4#84),D,D53,768810174,https://studiogtavtour.ca/410720-Lombard-St/idx,0-5,,,,,,,,,,,,,,,,,,,,,,,,,D54,,,2024,,,848000,
"$998,000",16 Elswick Road,MLS® E11213567,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', 'Br', 'Br', 'Br', 'Laundry', 'Utility']","['3.53 x 5.34', '3.11 x 3.55', '2.80 x 3.59', '3.67 x 3.86', '3.67 x 3.86', '3.12 x 3.02', '3.53 x 4.69', '2.49 x 3.55', '3.53 x 4.13']","['Fireplace, Picture Window, Combined W/Dining', 'W/O To Deck, Hardwood Floor, Combined W/Dining', 'O/Looks Backyard, Double Sink', 'Mirrored Closet, Hardwood Floor, O/Looks Frontyard', 'Hardwood Floor, O/Looks Backyard', 'Closet, Hardwood Floor, O/Looks Backyard', 'Above Grade Window', 'Double Sink, Above Grade Window, Pantry', 'Above Grade Window']",Sale,Detached,2-Storey,,Toronto,O'Connor-Parkview,3,1,1,6,N,,,Central Air,Y,,,Sep Entrance,Forced Air,Brick,Attached,,,2,3.0,,,,5829.61,2024,,,,,,,,Hospital,O'Connor Dr & St.Clair Ave E,Toronto E03,,,,1,,,,,,103780129,,,,,,3,Municipal,Private,1.0,PLAN 3618 LOT 71,W,40.00,125.00,Feet,None,Sewers,,,,,,,,,,,,,,,,,,Garden Shed
"$1,069,000",Th1 - 116 Evans Avenue,MLS® W11214265,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', 'Laundry', 'Family']","['3.80 x 8.40', '3.80 x 8.40', '3.70 x 4.78', '4.60 x 4.78', '3.48 x 4.78', '1.70 x 1.00', '3.20 x 4.40']","['Hardwood Floor, Gas Fireplace, Pot Lights', 'Hardwood Floor, Built-In Speakers, Open Concept', 'Eat-In Kitchen, W/O To Deck, Stainless Steel Appl', 'Hardwood Floor, California Shutters, Semi Ensuite', 'Hardwood Floor, Closet, California Shutters', '', 'Hardwood Floor, 2 Pc Bath, Access To Garage']",Sale,Condo Townhouse,2-Storey,1600-1799,Toronto,Mimico,2,2,1,7,Y,Terr,S,Central Air,Y,Restrict,1,Finished,Forced Air,Brick,Built-In,Owned,Private,1,2.0,,None,431.03,4205.90,2024,Y,,Y,,Y,,Visitor Parking,,Royal York / Evans,Toronto W06,MTCC,1356,Maple Ridge Community Management 905-507-6726,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$680,000",1218 - 20 Edward Street,MLS® C11213922,"['Living', 'Kitchen', 'Dining', 'Br', 'Den']","['3.07 x 2.50', '3.99 x 3.10', '3.99 x 3.10', '3.04 x 3.01', '2.00 x 3.10']","['East View, W/O To Balcony, Open Concept', 'Backsplash, Modern Kitchen, Stone Counter', 'Laminate, Track Lights, Balcony', 'Large Closet, Closet, Large Window', 'Laminate, B/I Closet, Formal Rm']",Sale,Condo Apt,Apartment,500-599,Toronto,Bay Street Corridor,1,1,1,5,N,Open,S,Central Air,N,Restrict,12,None,Forced Air,Concrete,Underground,None,None,0,0.0,,None,324.17,3500.00,2024,,,Y,,,,Visitor Parking,Park,Yonge St/Dundas,Toronto C01,TSCC,2920,Comfort,1,,,,,,769200270,,,,Y,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,399,900",108 - 89 Skymark Drive,MLS® C11213354,"['Living', 'Dining', 'Kitchen', 'Breakfast', 'Family', 'Den', 'Prim Bdrm', '2nd Br']","['5.94 x 7.62', '5.94 x 7.62', '3.54 x 3.05', '2.62 x 3.05', '3.54 x 4.26', '3.29 x 3.35', '3.66 x 4.90', '3.84 x 3.54']","['Combined W/Dining', 'Combined W/Living', 'B/I Dishwasher', 'Eat-In Kitchen', 'French Doors', '', '5 Pc Ensuite, Separate Shower, W/I Closet', 'Double Closet']",Sale,Condo Apt,Apartment,2000-2249,Toronto,Hillcrest Village,2,3,1,8,Y,Terr,Sw,Central Air,N,Restrict,1,None,Heat Pump,Brick,Underground,Owned,Undergrnd,2,2.0,B5,Owned,1492.00,5542.00,2024,Y,Y,Y,Y,Y,Y,Visitor Parking,Library,Don Mills/Finch,Toronto C15,MTCP,1227,Del Property Management,,Y,Ensuite,,A27,,,https://www.winsold.com/tour/378174,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
